iter	Passed	Remaining
0	59	59385
1	89	44502
2	109	36480
3	131	32639
4	157	31260
5	182	30212
6	207	29506
7	234	29094
8	256	28194
9	277	27491
10	302	27240
11	327	26926
12	351	26656
13	377	26610
14	401	26349
15	425	26167
16	448	25952
17	473	25852
18	497	25695
19	523	25669
20	545	25437
21	576	25643
22	603	25620
23	626	25458
24	650	25387
25	673	25226
26	696	25105
27	723	25116
28	751	25153
29	774	25027
30	800	25018
31	824	24934
32	847	24844
33	870	24728
34	894	24676
35	917	24565
36	938	24426
37	962	24372
38	987	24330
39	1011	24270
40	1036	24248
41	1061	24212
42	1087	24192
43	1108	24088
44	1132	24031
45	1157	24014
46	1183	24005
47	1205	23917
48	1229	23856
49	1253	23814
50	1276	23759
51	1303	23770
52	1329	23755
53	1350	23667
54	1375	23637
55	1396	23545
56	1418	23470
57	1443	23437
58	1467	23398
59	1491	23365
60	1516	23336
61	1539	23287
62	1564	23275
63	1592	23285
64	1618	23281
65	1640	23218
66	1666	23205
67	1695	23239
68	1718	23191
69	1741	23139
70	1766	23119
71	1792	23105
72	1814	23037
73	1838	23008
74	1865	23009
75	1891	22991
76	1914	22943
77	1939	22929
78	1965	22913
79	1991	22902
80	2016	22876
81	2043	22877
82	2069	22864
83	2096	22859
84	2119	22812
85	2144	22790
86	2172	22801
87	2200	22801
88	2228	22812
89	2253	22785
90	2275	22733
91	2301	22716
92	2325	22680
93	2346	22612
94	2379	22663
95	2406	22664
96	2431	22637
97	2455	22601
98	2479	22569
99	2505	22550
100	2531	22532
101	2557	22519
102	2586	22527
103	2611	22500
104	2633	22447
105	2654	22390
106	2684	22406
107	2711	22392
108	2733	22343
109	2761	22340
110	2786	22313
111	2809	22275
112	2831	22223
113	2859	22221
114	2884	22196
115	2906	22147
116	2930	22118
117	2953	22073
118	2977	22046
119	3005	22039
120	3030	22013
121	3054	21984
122	3081	21972
123	3102	21917
124	3127	21889
125	3152	21867
126	3179	21856
127	3211	21880
128	3235	21848
129	3261	21827
130	3284	21786
131	3306	21742
132	3333	21727
133	3359	21711
134	3385	21689
135	3405	21636
136	3431	21614
137	3457	21595
138	3485	21587
139	3511	21572
140	3537	21550
141	3562	21523
142	3589	21509
143	3617	21501
144	3639	21461
145	3669	21462
146	3693	21433
147	3721	21420
148	3741	21370
149	3765	21336
150	3790	21313
151	3814	21280
152	3839	21257
153	3865	21235
154	3890	21210
155	3916	21191
156	3944	21178
157	3969	21155
158	3993	21122
159	4022	21119
160	4052	21119
161	4084	21130
162	4115	21130
163	4137	21092
164	4163	21068
165	4189	21049
166	4218	21039
167	4246	21029
168	4273	21012
169	4295	20973
170	4322	20953
171	4351	20947
172	4375	20918
173	4399	20885
174	4425	20860
175	4449	20830
176	4475	20808
177	4503	20797
178	4528	20770
179	4552	20741
180	4580	20727
181	4607	20706
182	4638	20706
183	4671	20715
184	4698	20698
185	4719	20653
186	4745	20631
187	4767	20589
188	4790	20556
189	4814	20525
190	4838	20493
191	4863	20467
192	4888	20438
193	4911	20407
194	4938	20388
195	4961	20350
196	4986	20325
197	5009	20290
198	5034	20263
199	5058	20233
200	5081	20201
201	5105	20167
202	5130	20143
203	5153	20108
204	5177	20080
205	5203	20057
206	5223	20010
207	5249	19989
208	5270	19948
209	5303	19950
210	5324	19909
211	5348	19880
212	5372	19851
213	5392	19805
214	5417	19778
215	5439	19743
216	5463	19715
217	5491	19697
218	5517	19678
219	5547	19667
220	5569	19632
221	5594	19604
222	5619	19580
223	5644	19553
224	5672	19539
225	5697	19512
226	5721	19482
227	5745	19455
228	5770	19426
229	5791	19388
230	5814	19357
231	5835	19316
232	5865	19308
233	5889	19277
234	5914	19254
235	5940	19231
236	5964	19200
237	5989	19176
238	6012	19142
239	6038	19120
240	6059	19083
241	6080	19046
242	6104	19017
243	6131	18996
244	6155	18968
245	6178	18938
246	6199	18899
247	6222	18867
248	6248	18846
249	6277	18831
250	6304	18814
251	6332	18797
252	6358	18772
253	6383	18749
254	6405	18713
255	6427	18679
256	6452	18655
257	6479	18633
258	6502	18604
259	6527	18578
260	6552	18553
261	6572	18514
262	6593	18478
263	6622	18462
264	6649	18442
265	6672	18411
266	6699	18391
267	6722	18360
268	6745	18331
269	6776	18321
270	6805	18307
271	6828	18275
272	6850	18241
273	6876	18220
274	6902	18197
275	6927	18172
276	6954	18151
277	6979	18125
278	7003	18098
279	7028	18072
280	7050	18041
281	7077	18019
282	7099	17986
283	7121	17954
284	7144	17923
285	7168	17895
286	7197	17881
287	7221	17852
288	7245	17824
289	7268	17795
290	7295	17773
291	7320	17750
292	7348	17730
293	7372	17704
294	7399	17683
295	7438	17692
296	7463	17665
297	7489	17642
298	7512	17612
299	7538	17590
300	7564	17566
301	7588	17538
302	7613	17513
303	7642	17497
304	7672	17482
305	7698	17459
306	7723	17435
307	7749	17410
308	7771	17379
309	7799	17360
310	7826	17340
311	7850	17311
312	7877	17289
313	7909	17280
314	7936	17259
315	7962	17234
316	7987	17209
317	8011	17181
318	8037	17159
319	8064	17137
320	8092	17116
321	8118	17094
322	8144	17071
323	8170	17046
324	8193	17017
325	8217	16988
326	8241	16961
327	8264	16932
328	8293	16914
329	8319	16890
330	8343	16863
331	8366	16833
332	8393	16812
333	8423	16796
334	8446	16767
335	8472	16742
336	8497	16716
337	8520	16688
338	8547	16667
339	8572	16640
340	8594	16609
341	8623	16591
342	8655	16578
343	8675	16544
344	8697	16512
345	8716	16475
346	8742	16452
347	8766	16424
348	8790	16397
349	8814	16369
350	8838	16342
351	8867	16323
352	8891	16296
353	8918	16275
354	8941	16245
355	8963	16214
356	8985	16183
357	9008	16154
358	9032	16127
359	9056	16100
360	9081	16075
361	9104	16046
362	9128	16019
363	9152	15992
364	9176	15963
365	9199	15936
366	9224	15911
367	9259	15902
368	9284	15876
369	9309	15851
370	9336	15829
371	9394	15858
372	9419	15833
373	9443	15806
374	9469	15782
375	9494	15757
376	9519	15730
377	9543	15703
378	9568	15678
379	9594	15653
380	9623	15635
381	9651	15613
382	9673	15583
383	9695	15552
384	9718	15525
385	9743	15498
386	9769	15473
387	9793	15447
388	9820	15424
389	9846	15400
390	9873	15377
391	9905	15364
392	9930	15337
393	9959	15319
394	9984	15292
395	10007	15263
396	10032	15237
397	10057	15212
398	10083	15188
399	10106	15159
400	10128	15129
401	10151	15101
402	10176	15075
403	10204	15054
404	10231	15031
405	10255	15004
406	10283	14983
407	10304	14951
408	10334	14932
409	10356	14903
410	10381	14877
411	10406	14852
412	10429	14824
413	10457	14801
414	10483	14778
415	10507	14751
416	10532	14725
417	10557	14699
418	10582	14673
419	10608	14649
420	10637	14629
421	10661	14603
422	10688	14580
423	10719	14562
424	10742	14534
425	10770	14512
426	10795	14486
427	10821	14463
428	10846	14437
429	10869	14408
430	10894	14382
431	10919	14357
432	10945	14332
433	10968	14305
434	10993	14278
435	11015	14249
436	11039	14222
437	11065	14197
438	11090	14173
439	11114	14145
